repeat,model,color_parameters,train_games,test_games,train_log_loss,test_log_loss,converged
1,no_color,0,84358,233642,0.36662931978680297,0.3714504222705661,True
1,global_color,1,84358,233642,0.3624108774424099,0.37000938724757243,True
1,quadratic,3,84358,233642,0.35972018829613756,0.36821658653707157,True
1,cubic_spline,8,84358,233642,0.3585895579310876,0.3685232374830268,True
1,piecewise_constant_250,17,84358,233642,0.35890606208559045,0.3683185153834538,True
1,piecewise_constant_500,9,84358,233642,0.3591111875706735,0.3683380731997189,True
1,negative_exponential,2,84358,233642,0.3599391982704777,0.3683839019974205,True
1,piecewise_linear_1,4229,84358,233642,0.3415142923390096,0.6257092307030979,True
1,piecewise_linear_100,44,84358,233642,0.35675179765107873,0.36903336704417716,True
1,piecewise_linear_250,18,84358,233642,0.3577090654700242,0.368288449256674,True
1,piecewise_linear_500,10,84358,233642,0.359324003098513,0.3683043617425033,True
1,piecewise_linear_1500,4,84358,233642,0.35942290086387874,0.36822808916294625,True
2,no_color,0,88748,229252,0.3439770466844276,0.38031188726626225,True
2,global_color,1,88748,229252,0.34152906280112577,0.37786995492517417,True
2,quadratic,3,88748,229252,0.34065231181715677,0.37591588244695506,True
2,cubic_spline,8,88748,229252,0.34012561447928585,0.37633677884166494,True
2,piecewise_constant_250,17,88748,229252,0.3395984937028757,0.377238645847569,True
2,piecewise_constant_500,9,88748,229252,0.3403009460004795,0.3760247364140673,True
2,negative_exponential,2,88748,229252,0.34075060897819776,0.37616901946010045,True
2,piecewise_linear_1,4213,88748,229252,0.3246379181912252,0.5522682655530315,True
2,piecewise_linear_100,43,88748,229252,0.33919036996355517,0.37642003067247265,True
2,piecewise_linear_250,18,88748,229252,0.33941550596470443,0.37605597616177894,True
2,piecewise_linear_500,10,88748,229252,0.3401902644713131,0.376379442368874,True
2,piecewise_linear_1500,4,88748,229252,0.34037604414029615,0.3759098765501948,True
3,no_color,0,77786,240214,0.37633217544598735,0.3681765472431797,True
3,global_color,1,77786,240214,0.37395803626654717,0.3657065538124974,True
3,quadratic,3,77786,240214,0.37254071237166353,0.3639755932030109,True
3,cubic_spline,8,77786,240214,0.3717078680635888,0.36413519394987165,True
3,piecewise_constant_250,17,77786,240214,0.37180169300195237,0.36434169109720493,True
3,piecewise_constant_500,9,77786,240214,0.3720705097295002,0.3640495573330553,True
3,negative_exponential,2,77786,240214,0.3727063647936073,0.3641623427509774,True
3,piecewise_linear_1,4267,77786,240214,0.35711012253319085,0.4801100477764019,True
3,piecewise_linear_100,44,77786,240214,0.37125825372416205,0.3643081454316808,True
3,piecewise_linear_250,18,77786,240214,0.37153100940008627,0.36377321506957366,True
3,piecewise_linear_500,10,77786,240214,0.3717843201868556,0.3643374451109001,True
3,piecewise_linear_1500,4,77786,240214,0.3720452058507568,0.36399894344661615,True
4,no_color,0,80592,237408,0.3706292741685993,0.370016095729373,True
4,global_color,1,80592,237408,0.36974697540384266,0.3675694507385191,True
4,quadratic,3,80592,237408,0.36850038635688126,0.3652196135274511,True
4,cubic_spline,8,80592,237408,0.3682724046431406,0.3662027216098416,True
4,piecewise_constant_250,17,80592,237408,0.3680617802459906,0.3683708912109616,True
4,piecewise_constant_500,9,80592,237408,0.36840851213873005,0.36527860226646947,True
4,negative_exponential,2,80592,237408,0.36856539962179125,0.365822792001805,True
4,piecewise_linear_1,4216,80592,237408,0.3576391103529252,0.455877967410196,True
4,piecewise_linear_100,43,80592,237408,0.3673704374813282,0.3684363432039825,True
4,piecewise_linear_250,18,80592,237408,0.3679147450936204,0.36783633089989065,True
4,piecewise_linear_500,10,80592,237408,0.3680030878711007,0.36714564757824264,True
4,piecewise_linear_1500,4,80592,237408,0.3685589258032232,0.36510445619740217,True
5,no_color,0,79954,238046,0.36103398958749006,0.3732405674333388,True
5,global_color,1,79954,238046,0.3582596147609214,0.370924306577823,True
5,quadratic,3,79954,238046,0.35431834119872313,0.3714643499555896,True
5,cubic_spline,8,79954,238046,0.35366983743355485,0.3739005762066241,True
5,piecewise_constant_250,17,79954,238046,0.35337748478993564,0.3758020000069415,True
5,piecewise_constant_500,9,79954,238046,0.3541468376259094,0.37173891942758147,True
5,negative_exponential,2,79954,238046,0.3544017226623592,0.3729738303498934,True
5,piecewise_linear_1,4208,79954,238046,0.3392819846291207,0.48930502773963186,True
5,piecewise_linear_100,43,79954,238046,0.35296993680003047,0.37575138973351,True
5,piecewise_linear_250,18,79954,238046,0.3533408308716293,0.37566832733356453,True
5,piecewise_linear_500,10,79954,238046,0.3536886994809101,0.3735958794113465,True
5,piecewise_linear_1500,4,79954,238046,0.35430630621744863,0.3714938105180302,True
6,no_color,0,72746,245254,0.3850117712891198,0.3657696486276123,True
6,global_color,1,72746,245254,0.38227095544623857,0.3634122886686818,True
6,quadratic,3,72746,245254,0.3801373978078569,0.36200099000525937,True
6,cubic_spline,8,72746,245254,0.37967305121468214,0.3632861220578344,True
6,piecewise_constant_250,17,72746,245254,0.37930976626476237,0.36383468470547936,True
6,piecewise_constant_500,9,72746,245254,0.3797450592632875,0.36210589882741145,True
6,negative_exponential,2,72746,245254,0.38097899592225754,0.36183569571803303,True
6,piecewise_linear_1,4191,72746,245254,0.3672280470245761,0.43284737308500515,True
6,piecewise_linear_100,43,72746,245254,0.3786105312322185,0.3638565183068176,True
6,piecewise_linear_250,18,72746,245254,0.37936777514152004,0.3637913057542551,True
6,piecewise_linear_500,10,72746,245254,0.3794565261196301,0.36378898962636247,True
6,piecewise_linear_1500,4,72746,245254,0.3801149373538429,0.36177845489114024,True
7,no_color,0,79954,238046,0.3611387394346701,0.373205384446515,True
7,global_color,1,79954,238046,0.35950901208594455,0.3705857801209046,True
7,quadratic,3,79954,238046,0.3590158696652375,0.3685124701690459,True
7,cubic_spline,8,79954,238046,0.3584630591070341,0.3694066769977761,True
7,piecewise_constant_250,17,79954,238046,0.3583520308559694,0.3695320890794492,True
7,piecewise_constant_500,9,79954,238046,0.3584729314807031,0.36938812391263676,True
7,negative_exponential,2,79954,238046,0.35913937380409044,0.36887702127278116,True
7,piecewise_linear_1,4142,79954,238046,0.34663680741368047,0.49371243803000164,True
7,piecewise_linear_100,43,79954,238046,0.3579360407377991,1.1645952322156263,True
7,piecewise_linear_250,18,79954,238046,0.3582867540913637,0.3685685068787891,True
