network	speed_seconds_per_player_game	elo
kata1-b28c512nbt-s8566598912-d4691918754-playouts600	6382.295233199989	4420
kata1-b28c512nbt-s7229617920-d4333415784-playouts600	7463.132659100029	4377
kata1-b28c512nbt-s12313658112-d5687582971-playouts600	5018.111744100065	4377
kata1-b18c384nbt-s9761732864-d4253420187-playouts600	2614.982925399954	4362
kata1-b28c512nbt-s12313658112-d5687582971-playouts60	501.81117441000646	4339
kata1-b28c512nbt-s8566598912-d4691918754-playouts60	638.2295233199989	4325
kata1-b28c512nbt-s7229617920-d4333415784-playouts60	746.3132659100029	4300
kata1-b18c384nbt-s9761732864-d4253420187-playouts60	261.4982925399954	4273
kata1-zhizi-b40c768nbt-fdx6c	24.32480986550028	4210
kata1-b28c512nbt-s12313658112-d5687582971	8.363519573500108	4193
kata1-b28c512nbt-s8566598912-d4691918754	10.637158721999981	4185
kata1-b28c512nbt-s7229617920-d4333415784	12.438554431833381	4154
kata1-b18c384nbt-s9761732864-d4253420187	4.35830487566659	4123
kata1-b60c320-s6678602752-d3043834427	12.339839730332907	4097
kata1-b40c256-s11840935168-d2898845681	4.4697391198331315	4066
kata1-b40c256-s8049900800-d1952632576	4.6193178141664175	4058
kata1-b40c256x2-s4120339456-d1045882697	4.468537459499923	4023
kata1-b40c256-s5793846528-d1395151722	6.030988349499846	3991
kata1-b40c256x2-s4833666560-d1179059206	4.103663705833128	3983
kata1-b20c256x2-s5055114240-d1149032340	3.5649893079996295	3929
kata1-b20c256x2-s3354994176-d716845198	2.686307383333542	3896
kata1-b20c256x2-s2430231552-d525879064	2.2319532286668013	3860
kata1-b20c256x2-s1610809600-d384128195	2.125650296999652	3845
kata1-b20c256x2-s1039565568-d285739972	2.6276825758334703	3839
kata1-b20c256x2-s668214784-d222255714	2.943269888499875	3795
kata1-b15c192-s1062526208-d272346422	1.1079063626668433	3750
kata1-b15c192-s798345984-d202388589	1.1015304296669608	3748
kata1-b20c256-s241116160-d150094945	2.7439635834999385	3734
kata1-b15c192-s449394432-d140458288	1.1410826906666596	3699
kata1-b15c192-s315428352-d115173910	1.1578168330001593	3688
kata1-b15c192-s230670592-d99188084	1.100272799833533	3637
kata1-b15c192-s172540416-d88080224	1.0031396911666282	3634
kata1-b10c128-s501483520-d110698189	0.30445802100009206	3564
kata1-b10c128-s356821760-d90717864	0.39358095500000445	3554
kata1-b10c128-s182492416-d63545831	0.48346350783339176	3534
kata1-b10c128-s258941696-d77667876	0.42500735666667805	3527
kata1-b10c128-s146897408-d54258564	0.30418075316655785	3507
kata1-b10c128-s108710656-d44395882	0.3362972361667289	3493
kata1-b10c128-s82632704-d37596868	0.43050510466658426	3457
kata1-b10c128-s56992512-d31122236	0.319121668666772	3436
kata1-b10c128-s41138688-d27396855	0.29821963600009366	3386
kata1-b6c96-s175395328-d26788732	0.16789423199998055	3330
kata1-b6c96-s152505856-d23152636	0.15679143850013588	3312
kata1-b6c96-s165180416-d25130434	0.18788640183333882	3310
kata1-b6c96-s122554112-d18283013	0.17276402299997548	3302
kata1-b6c96-s141089536-d21243181	0.17129835466660856	3300
kata1-b6c96-s130521856-d19523626	0.14302743533365478	3295
kata1-b6c96-s115648256-d17228996	0.1849362194996426	3288
kata1-b6c96-s103950080-d15368530	0.13821765999993355	3274
kata1-b6c96-s108812288-d16129874	0.16837000066664132	3268
kata1-b6c96-s95425792-d14091095	0.14714674833309496	3258
kata1-b6c96-s89508352-d13124432	0.15760052466725938	3247
kata1-b6c96-s83588096-d12203675	0.14255310266707966	3246
kata1-b6c96-s73091584-d10630987	0.13281025449964545	3226
kata1-b6c96-s78659584-d11478487	0.18567681783353387	3225
kata1-b6c96-s69427456-d10051148	0.18631812016648533	3196
kata1-b6c96-s65341184-d9428755	0.16443322400027682	3187
kata1-b6c96-s59560704-d8589539	0.17957846850019146	3178
kata1-b6c96-s63439616-d9138325	0.13983952916646558	3166
kata1-b6c96-s55682304-d7995124	0.132088588833426	3150
kata1-b6c96-s56669696-d8173106	0.21557883916701334	3145
kata1-b6c96-s52864512-d7635581	0.16623691966659257	3117
kata1-b6c96-s50894592-d7380655	0.13025177750008274	3115
kata1-b6c96-s48921344-d7092247	0.1319176970001763	3108
kata1-b6c96-s46949632-d6822967	0.16964489533321134	3080
kata1-b6c96-s45189632-d6589032	0.16303278149988878	3067
kata1-b6c96-s43286272-d6326857	0.179575562166292	3064
kata1-b6c96-s41312768-d6061202	0.17856663499984884	3036
kata1-b6c96-s39339776-d5828519	0.20023335833320743	3013
kata1-b6c96-s37368064-d5536083	0.15186418633334142	2986
kata1-b6c96-s35356160-d5299514	0.1742089431667561	2944
kata1-b6c96-s33239552-d5016295	0.1965664233334413	2919
kata1-b6c96-s32344832-d4917369	0.16895083416674575	2901
kata1-b6c96-s30394624-d4635675	0.20829613433318173	2865
kata1-b6c96-s31390976-d4781382	0.1592470159998053	2861
kata1-b6c96-s29422336-d4533650	0.20184136616664242	2835
kata1-b6c96-s28460288-d4388379	0.16785326266680536	2812
kata1-b6c96-s27415296-d4256697	0.1632347464999763	2786
kata1-b6c96-s26363136-d4119819	0.23564521716673426	2738
kata1-b6c96-s25461504-d4002500	0.18495172949993352	2718
kata1-b6c96-s24455424-d3879081	0.19489947783328412	2692
kata1-b6c96-s23401472-d3742377	0.20015385533315566	2637
kata1-b6c96-s22371328-d3612586	0.19524274466671918	2603
kata1-b6c96-s21371392-d3529696	0.19450860866629682	2578
kata1-b6c96-s20302336-d3388395	0.21470086216652362	2491
kata1-b6c96-s19408128-d3280178	0.1952000808334636	2454
kata1-b6c96-s18429184-d3197121	0.20496055416648082	2383
kata1-b6c96-s17434112-d3038653	0.3156920305002207	2308
kata1-b6c96-s16525312-d2925067	0.21909647950000513	2241
kata1-b6c96-s15704832-d2832803	0.2447292895001283	2160
kata1-b6c96-s14649344-d2727367	0.25853725300006164	2106
kata1-b6c96-s13733120-d2631546	0.24230447816641268	1976
kata1-b6c96-s12849664-d2510774	0.23789274899983562	1940
kata1-b6c96-s11888896-d2416753	0.26230602799967073	1817
kata1-b6c96-s10825472-d2300510	0.28477982983307965	1740
kata1-b6c96-s10014464-d2201128	0.2715699603334845	1651
kata1-b6c96-s8982784-d2082583	0.3110546408339208	1570
kata1-b6c96-s8080640-d1961030	0.35081855416691116	1520
kata1-b6c96-s6127360-d1754797	0.3836935163337027	1246
kata1-b6c96-s5214720-d1690538	0.38128512516645213	1166
kata1-b6c96-s4136960-d1510003	0.4883426493333521	1102
kata1-b6c96-s1995008-d1329786	0.6381169426665186	524
kata1-b6c96-s938496-d1208807	0.4990093173335026	331
kata1-b6c96-s1248000-d550347	0.5373173841669541	121
