game,batch,black,white,result,winner,score_black,moves,source,llm_moves,llm_illegal_moves,llm_api_problems,llm_api_seconds,llm_cost_usd
1,1,gpt6-astra-high-codex-4h,kata1-b6c96-s18429184-d3197121,B+2.0,gpt6-astra-high-codex-4h,1,55,openai_codex_workspace_agent,28,0,0,935.470498,6.027156000000
2,1,kata1-b6c96-s18429184-d3197121,gpt6-astra-high-codex-4h,W+R,gpt6-astra-high-codex-4h,0,39,openai_codex_workspace_agent,19,0,0,672.065299,3.912366000000
3,2,gpt6-astra-high-codex-4h,kata1-b6c96-s48921344-d7092247,B+R,gpt6-astra-high-codex-4h,1,26,openai_codex_workspace_agent,13,0,0,422.451007,2.308962000000
4,2,kata1-b6c96-s48921344-d7092247,gpt6-astra-high-codex-4h,W+R,gpt6-astra-high-codex-4h,0,33,openai_codex_workspace_agent,16,0,0,520.128192,2.878352000000
5,3,gpt6-astra-high-codex-4h,kata1-b20c256-s241116160-d150094945,W+34.0,kata1-b20c256-s241116160-d150094945,0,94,openai_codex_workspace_agent,47,0,0,1472.323472,12.974308000000
6,3,kata1-b20c256-s241116160-d150094945,gpt6-astra-high-codex-4h,B+44.0,kata1-b20c256-s241116160-d150094945,1,111,openai_codex_workspace_agent,55,0,0,1797.440922,14.662992000000
7,4,gpt6-astra-high-codex-4h,kata1-b10c128-s41138688-d27396855,W+88.0,kata1-b10c128-s41138688-d27396855,0,122,openai_codex_workspace_agent,61,0,0,1780.633064,14.939794000000
8,4,kata1-b10c128-s41138688-d27396855,gpt6-astra-high-codex-4h,W+R,gpt6-astra-high-codex-4h,0,35,openai_codex_workspace_agent,17,0,0,647.195205,3.647120000000
9,5,gpt6-astra-high-codex-4h,kata1-b10c128-s41138688-d27396855,W+46.0,kata1-b10c128-s41138688-d27396855,0,90,openai_codex_workspace_agent,45,0,0,1482.835188,11.069782000000
10,5,kata1-b10c128-s41138688-d27396855,gpt6-astra-high-codex-4h,B+4.0,kata1-b10c128-s41138688-d27396855,1,103,openai_codex_workspace_agent,51,0,0,1764.861723,14.684514000000
11,6,gpt6-astra-high-codex-4h,kata1-b6c96-s103950080-d15368530,B+R,gpt6-astra-high-codex-4h,1,58,openai_codex_workspace_agent,29,0,0,1078.405204,6.355464000000
12,6,kata1-b6c96-s103950080-d15368530,gpt6-astra-high-codex-4h,W+R,gpt6-astra-high-codex-4h,0,39,openai_codex_workspace_agent,19,0,0,651.543385,3.873446000000
13,7,gpt6-astra-high-codex-4h,kata1-b10c128-s41138688-d27396855,B+R,gpt6-astra-high-codex-4h,1,44,openai_codex_workspace_agent,22,0,0,807.196686,4.401540000000
14,7,kata1-b10c128-s41138688-d27396855,gpt6-astra-high-codex-4h,B+30.0,kata1-b10c128-s41138688-d27396855,1,109,openai_codex_workspace_agent,54,0,0,1766.919658,14.345794000000
15,8,gpt6-astra-high-codex-4h,kata1-b10c128-s41138688-d27396855,W+T,kata1-b10c128-s41138688-d27396855,0,118,openai_codex_workspace_agent,59,0,0,1800.789978,13.512202000000
16,8,kata1-b10c128-s41138688-d27396855,gpt6-astra-high-codex-4h,W+R,gpt6-astra-high-codex-4h,0,55,openai_codex_workspace_agent,27,0,0,991.636500,6.095136000000
17,9,gpt6-astra-high-codex-4h,kata1-b10c128-s41138688-d27396855,W+68.0,kata1-b10c128-s41138688-d27396855,0,106,openai_codex_workspace_agent,53,0,0,1679.713634,13.958198000000
18,9,kata1-b10c128-s41138688-d27396855,gpt6-astra-high-codex-4h,W+R,gpt6-astra-high-codex-4h,0,37,openai_codex_workspace_agent,18,0,0,697.960051,4.229132000000
19,10,gpt6-astra-high-codex-4h,kata1-b10c128-s41138688-d27396855,B+R,gpt6-astra-high-codex-4h,1,46,openai_codex_workspace_agent,23,0,0,835.270331,5.452388000000
20,10,kata1-b10c128-s41138688-d27396855,gpt6-astra-high-codex-4h,W+R,gpt6-astra-high-codex-4h,0,65,openai_codex_workspace_agent,32,0,0,1196.199269,8.112246000000
